Address	Length	Type	String
.rdata:0000000142DA7FE0	0000000D	C	cf_connect()
.rdata:0000000142DA7FF0	0000001C	C	cf_connect() -> %d, done=%d
.rdata:0000000142DA8010	0000001C	C	cf_recv(len=%zu) -> %zd, %d
.rdata:0000000142DA8030	00000022	C	unsupported ALPN protocol: '%.*s'
.rdata:0000000142DA8058	0000001B	C	ALPN: server accepted %.*s
.rdata:0000000142DA8078	00000038	C	ALPN: server did not agree on a protocol. Uses default.
.rdata:0000000142DA82C8	00000013	C	Closing connection
.rdata:0000000142DA82E0	00000036	C	Too old connection (%lld seconds idle), disconnect it
.rdata:0000000142DA8320	00000040	C	Too old connection (%lld seconds since creation), disconnect it
.rdata:0000000142DA8360	00000021	C	Connection %lld seems to be dead
.rdata:0000000142DA8388	0000000E	C	can multiplex
.rdata:0000000142DA8398	00000009	C	serially
.rdata:0000000142DA83A8	0000001F	C	Found bundle for host: %p [%s]
.rdata:0000000142DA83C8	0000002B	C	Server doesn't support multiplex yet, wait
.rdata:0000000142DA83F8	00000027	C	Server doesn't support multiplex (yet)
.rdata:0000000142DA8420	00000022	C	Could multiplex, but not asked to
.rdata:0000000142DA8448	00000028	C	Can not multiplex, even if we wanted to
.rdata:0000000142DA8470	00000030	C	Connection #%lld isn't open enough, can't reuse
.rdata:0000000142DA84A0	00000033	C	Server upgrade doesn't support multiplex yet, wait
.rdata:0000000142DA84D8	0000001E	C	Server upgrade cannot be used
.rdata:0000000142DA84F8	00000037	C	client side MAX_CONCURRENT_STREAMS reached, skip (%zu)
.rdata:0000000142DA8530	0000002B	C	MAX_CONCURRENT_STREAMS reached, skip (%zu)
.rdata:0000000142DA8560	0000001D	C	Multiplexed connection found
.rdata:0000000142DA8580	0000003E	C	Found pending candidate for reuse and CURLOPT_PIPEWAIT is set
.rdata:0000000142DA85C0	0000001D	C	Connected to %s (%s) port %u
.rdata:0000000142DA85E0	00000033	C	Protocol \"%s\" not supported or disabled in libcurl
.rdata:0000000142DA8618	00000017	C	Invalid zoneid: %s; %s
.rdata:0000000142DA8630	00000008	C	%s://%s
.rdata:0000000142DA8638	00000011	C	URL rejected: %s
.rdata:0000000142DA8658	00000023	C	Too long host name (maximum is %d)
.rdata:0000000142DA8684	00000006	C	https
.rdata:0000000142DA8690	0000002E	C	Switched from HTTP to HTTPS due to HSTS => %s
.rdata:0000000142DA86C0	00000006	C	%lld-
.rdata:0000000142DA86D0	0000000B	C	http_proxy
.rdata:0000000142DA86E0	0000000A	C	all_proxy
.rdata:0000000142DA86F0	0000000A	C	ALL_PROXY
.rdata:0000000142DA8700	00000023	C	Uses proxy env variable %s == '%s'
.rdata:0000000142DA8728	00000008	C	socks5h
.rdata:0000000142DA8730	00000007	C	socks5
.rdata:0000000142DA8738	00000008	C	socks4a
.rdata:0000000142DA8740	00000007	C	socks4
.rdata:0000000142DA8748	00000006	C	socks
.rdata:0000000142DA8750	00000022	C	Unsupported proxy scheme for '%s'
.rdata:0000000142DA8778	00000025	C	Unsupported proxy syntax in '%s': %s
